electricactuator;IfcActuatorTypeEnum;IfcActuator
handoperatedactuator;IfcActuatorTypeEnum;IfcActuator
hydraulicactuator;IfcActuatorTypeEnum;IfcActuator
pneumaticactuator;IfcActuatorTypeEnum;IfcActuator
thermostaticactuator;IfcActuatorTypeEnum;IfcActuator
electricactuator;IfcActuatorTypeEnum;IfcActuatorType
handoperatedactuator;IfcActuatorTypeEnum;IfcActuatorType
hydraulicactuator;IfcActuatorTypeEnum;IfcActuatorType
pneumaticactuator;IfcActuatorTypeEnum;IfcActuatorType
thermostaticactuator;IfcActuatorTypeEnum;IfcActuatorType
diffuser;IfcAirTerminalTypeEnum;IfcAirTerminal
grille;IfcAirTerminalTypeEnum;IfcAirTerminal
louvre;IfcAirTerminalTypeEnum;IfcAirTerminal
register;IfcAirTerminalTypeEnum;IfcAirTerminal
constantflow;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBox
variableflowpressuredependant;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBox
variableflowpressureindependant;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBox
constantflow;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBoxType
variableflowpressuredependant;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBoxType
variableflowpressureindependant;IfcAirTerminalBoxTypeEnum;IfcAirTerminalBoxType
diffuser;IfcAirTerminalTypeEnum;IfcAirTerminalType
grille;IfcAirTerminalTypeEnum;IfcAirTerminalType
louvre;IfcAirTerminalTypeEnum;IfcAirTerminalType
register;IfcAirTerminalTypeEnum;IfcAirTerminalType
fixedplatecounterflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
fixedplatecrossflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
fixedplateparallelflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
rotarywheel;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
runaroundcoilloop;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
heatpipe;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
twintowerenthalpyrecoveryloops;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
thermosiphonsealedtubeheatexchangers;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
thermosiphoncoiltypeheatexchangers;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecovery
fixedplatecounterflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
fixedplatecrossflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
fixedplateparallelflowexchanger;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
rotarywheel;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
runaroundcoilloop;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
heatpipe;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
twintowerenthalpyrecoveryloops;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
thermosiphonsealedtubeheatexchangers;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
thermosiphoncoiltypeheatexchangers;IfcAirToAirHeatRecoveryTypeEnum;IfcAirToAirHeatRecoveryType
bell;IfcAlarmTypeEnum;IfcAlarm
breakglassbutton;IfcAlarmTypeEnum;IfcAlarm
light;IfcAlarmTypeEnum;IfcAlarm
manualpullbox;IfcAlarmTypeEnum;IfcAlarm
siren;IfcAlarmTypeEnum;IfcAlarm
whistle;IfcAlarmTypeEnum;IfcAlarm
bell;IfcAlarmTypeEnum;IfcAlarmType
breakglassbutton;IfcAlarmTypeEnum;IfcAlarmType
light;IfcAlarmTypeEnum;IfcAlarmType
manualpullbox;IfcAlarmTypeEnum;IfcAlarmType
siren;IfcAlarmTypeEnum;IfcAlarmType
whistle;IfcAlarmTypeEnum;IfcAlarmType
amplifier;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
camera;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
display;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
microphone;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
player;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
projector;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
receiver;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
speaker;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
switcher;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
telephone;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
tuner;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualAppliance
amplifier;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
camera;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
display;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
microphone;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
player;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
projector;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
receiver;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
speaker;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
switcher;IfcAudioVisualApplianceTypeEnum;IfcAudioVisualApplianceType
